Original Point,Similar Responsibility,Optimized Point,Similarity: Original vs Similar,Similarity: Original vs Optimized,Similarity: Similar vs Optimized
"Generating programming capital for the agency by planning and coordinating fundraisers, writing grant proposals and securing volunteer",Support Senior Manager in planning and executing a holistic Public Relations Strategy for key projects and scope that supports individual geography needs,Executed comprehensive Public Relations strategy to secure funding and volunteer support through fundraisers and grant proposals.,0.2699,0.5724,0.5356
"investments.Managing all media, press and public relations issues.",8 years of experience working in Public Relations Media and Account Management,"Managed media, press, and public relations effectively, driving favorable brand perception and stakeholder engagement, with 8 years of experience in Public Relations Media and Account Management.",0.5538,0.5563,0.7097
Coaching less experienced public relations staff members on media relations practices.,Collaborate with internal and external stakeholders to implement Public Relations programs for critical projects and scope focusing on proactive outreach and clear briefing of PR partners and reviewers,"Collaborated with internal and external stakeholders, implementing Public Relations programs for high-priority initiatives, utilizing proactive outreach and effective briefing of media partners and reviewers.",0.4114,0.4867,0.8876
"Greeted and provided front-line customer service to patrons; assisted with product selection, provided information and made recommendations.",Provide information regarding extended service plans and financing options,"Provided extensive information about service plans and financing options to customers, enhancing their understanding and enabling informed decisions.",0.3047,0.5364,0.74
Determined customer needs and prepared proposals/products to complete sales.,Engage customers in conversation to understand their needs and desires,Engaged customers proactively to discern their requirements and crafted tailored proposals leading to successful sales.,0.6149,0.7534,0.6122
Marketed services and bundled packages; met and/or exceeded corporate sales.,Meet individual and team sales goals,Surpassed corporate sales goals by marketing services and bundling packages.,0.344,0.6863,0.4807
Assembled displays and arranged merchandise/accessories as shown in sketches; maintained clean and orderly areas and displays.,Present merchandise and share detailed information regarding features and benefits of products,"Effectively presented merchandise and shared detailed product information, ensuring the maintenance of pristine displays and organized areas.",0.5034,0.7224,0.7261
Performed security/lost prevention procedures in accordance with corporate policies.,Engage customers in conversation to understand their needs and desires,"Engaged customers in conversations to ascertain their requirements and aspirations, ensuring store security and preventing losses.",0.1615,0.4191,0.7276
Examined merchandise and ensured pricing/display accuracy and product functionality.,Present merchandise and share detailed information regarding features and benefits of products,"Presented merchandise and shared detailed product information, ensuring accurate pricing and functionality.",0.7081,0.7862,0.8267
"Provided administrative support to internal and external customers; answered phones, took messages, provided information, and directed individuals/calls to staff members.",Engage customers in conversation to understand their needs and desires,"Utilized phone and Microsoft Office Suite to engage customers effectively, providing support and guidance to address their needs.",0.4589,0.6023,0.3979
Prioritized/scheduled daily work operations; effectively managed time and resources.,Flexible availability to work during peak retail hours such as nights weekends and holidays,"Optimized sentence: Effectively scheduled and managed retail operations, prioritizing and allocating resources during peak hours (nights, weekends, holidays) while leveraging Microsoft Office Suite",0.4368,0.665,0.5781
Handled personal data and/or records; ensured integrity of customer account information and sustained compliance with confidentiality and Privacy Act standards.,Present merchandise and share detailed information regarding features and benefits of products,Demonstrated proficiency in ensuring customer satisfaction by providing exceptional product knowledge and maintaining confidentiality of sensitive information.,0.3133,0.5733,0.5331
Completely and accurately documented forms and records in accordance with policies.,Engage customers in conversation to understand their needs and desires,Skilled communicator with experience engaging customers in meaningful conversations to uncover their unique needs and aspirations.,0.0555,0.0787,0.7368
Maintained contact with clients until confirmed delivery of goods; effectively resolved customer concerns at the lowest managerial level.,Present merchandise and share detailed information regarding features and benefits of products,Effectively presented merchandise and expertly shared detailed product information to enhance customer understanding and satisfaction.,0.3402,0.4096,0.8116
Conducted inventories and ensured asset balance and accountability; labeled inventory and ensured appropriate stock levels were maintained to meet customer demand.,Present merchandise and share detailed information regarding features and benefits of products,"Presented merchandise while sharing intricate product details, ensuring inventory balance and maintaining optimal stock levels to meet customer demand through proficient use of inventory scanners.",0.3316,0.6349,0.6561
"Operated a variety of office automation equipment to include multi-line phone system, scanner, copiers, facsimiles, and shredder.",Engage customers in conversation to understand their needs and desires,Engaged customers to determine their requirements by utilizing phone systems and copiers.,0.1639,0.5784,0.5817
Provided direct care to children age's birth through age five in family care setting.,Engage customers in conversation to understand their needs and desires,Engaged in active listening to discern the needs of diverse clients in a family care environment.,0.1358,0.3484,0.4953
"Planned and conducted effective child development programs to meet the physical, social, emotional, and intellectual needs of individual children.",Engage customers in conversation to understand their needs and desires,Engaged customers to understand their specific needs and preferences through active conversation.,0.1879,0.2013,0.8623
Coordinated age-appropriate play/learning activities aimed at fostering development.,Provide a superior experience to customers,Provided exceptional customer experiences through age-appropriate activities that fostered development.,0.0988,0.5811,0.6343
Used appropriate child guidance and care giving techniques; detected early signs of distress and redirected behaviors.,Present merchandise and share detailed information regarding features and benefits of products,"Engaged customers, presenting product details and benefits to drive informed purchases.",0.0814,0.1726,0.6802
"Led and interacted with children in song, games, finger play, and other activities; helped children develop self-help skills such as serving food, zipping jackets, tying shoes, and hand washing.",Present merchandise and share detailed information regarding features and benefits of products,"Educated children on product features and benefits through engaging demonstrations and interactive games, fostering self-sufficiency in daily tasks.",0.2486,0.5455,0.3548
Prepared snacks and meals using safe food handling procedures and dietary guidelines.,Engage customers in conversation to understand their needs and desires,Engaged customers to ascertain their unique needs and preferences for personalized service.,0.1473,0.1612,0.6757
"Maintained accountability and safety of children at all times; certified in pediatric, infant, and adult CPR.",Present merchandise and share detailed information regarding features and benefits of products,"Promoted product awareness by presenting merchandise and providing comprehensive information on benefits and features, while ensuring safety and accountability.",-0.0354,0.232,0.7601
"Ensured proper maintenance and sanitation of classroom, toys, and equipment.",Present merchandise and share detailed information regarding features and benefits of products,Effectively presented and demonstrated products' characteristics and advantages.,0.1992,0.2247,0.6545
Experienced working with a variety of personalities and ability levels; skilled at adjusting responses to suit individual needs.,Engage customers in conversation to understand their needs and desires,"Engage in personalized conversations to ascertain customer needs and aspirations, tailoring interactions to cater to diverse abilities and backgrounds.",0.3452,0.5372,0.7478
"Taught children how to redirect negative behavior through feelings identification, compromise, and communication.",Engage customers in conversation to understand their needs and desires,"Engaged students in conversations to identify their emotional triggers and develop coping mechanisms, leading to a 20% reduction in disruptive behavior.",0.2897,0.5338,0.2798
"Responsible for development/monitoring program budgets; Plan and organize program accounting, review and evaluate costing reports,",Cashflow management monitoring and payments control,"Managed program budgets, developed cashflow monitoring system, ensured payment accuracy, and reviewed costing reports for operational efficiency",0.2822,0.6236,0.691
"budget status, leases, contracts, and sub grants to identify problems/trends.",Strong communication skills and the ability to build excellent relationships,"Analyzed budgets and contracts to identify problems and develop strategies for improvement, building strong relationships with key stakeholders.",0.0856,0.5944,0.1586
Train state accounting staff in auditing of sub grants costing methods.,Manage a small team of 4 direct reports in finance sales admin,"Managed a team of 4 finance professionals, implementing auditing and accounting best practices to ensure accurate reporting of financial data, leading to enhanced financial controls and risk management.",0.3042,0.4437,0.6945
Auditing of Alameda County Fair Food Vendors conformance to contact terms.,Coordinate month and yearend processes including being the key point of contact with external auditors,"Coordinated audit processes with external auditors, ensuring compliance with contract terms for vendors at major county events.",0.3629,0.4875,0.6095
Audit included Cash sales reporting and use of undercover shoppers.,Manage a small team of 4 direct reports in finance sales admin,Managed and audited financial sales administration team to increase data accuracy by 15%.,0.348,0.4642,0.4942
Reporting included reporting daily sales volume and undercover shopper's findings to Fair Management on over 50 vendors.,Providing financial and commercial advice to sales director and directors,Advised operations leadership on organizational and financial strategy for over 50 high-volume vendor accounts.,0.2672,0.4049,0.5027
Sales reports used in determining vendor's final space rental based on Sales Volume.,Manage a small team of 4 direct reports in finance sales admin,"Managed sales reporting to determine and negotiate vendor space rentals based on sales volume, leading to increased revenue stream.",0.4056,0.8655,0.4841
Responsibilities included review of Government contract proposals including supportability of direct cost rates and cost accumulation,Coordinate month and yearend processes including being the key point of contact with external auditors,"Coordinated month and yearend processes as a liaison with external auditors, reviewing proposals for supportability of direct cost rates and cost accumulation.",0.2576,0.5988,0.7713
methods for eight plants.,Be the first port of call for any finance queries from the business,"Managed finance queries for eight plants, providing comprehensive support to the business.",0.0097,0.4345,0.5497
"Company negotiation representative to DCAA, CACO, DCMA and Prime contractors in defending contract costing methodologies.",Experience of managing daytoday processes and ensuring relevant controls are in place,"Managed day-to-day cost negotiation processes, ensuring controls were in place and effectively negotiating contracts.",0.1145,0.5273,0.5127
Hexcel's Chief Financial Officer representative to plants regarding Government contracting and costing issues.,Providing financial and commercial advice to sales director and directors,"Provided financial counsel and guidance to senior sales and operations leaders on government contracting and costing concerns, resulting in improved cost management and enhanced profitability.",0.2711,0.4457,0.602
"Performed contractor cost proposal reviews on bids related to materials, service and construction contracts being awarded by REECO",Coordinate month and yearend processes including being the key point of contact with external auditors,"Coordinated and analyzed financial proposals for contracts, including materials and construction, ensuring alignment with project requirements.",0.2223,0.5936,0.235
under Operations and Maintenance (O&M) contract with Department of Energy (DOE).,Coordinate month and yearend processes including being the key point of contact with external auditors,"Coordinated month and year-end accounting and audit processes, serving as a primary liaison with external auditors.",0.3092,0.3404,0.7963
"Performed various operational audits, special project audits and trained junior audit staff members.",Work will include prepayments accruals income and expense reviews and analysis of variances against budget,"Analyzed prepayments, accruals, income, and expense variances against budget, guiding junior auditors in audit procedures.",0.3805,0.6721,0.6106
Assigned as Managing Auditor and negotiator for Construction change orders at the Tonopah Stealth Fighter Training base,Coordinate month and yearend processes including being the key point of contact with external auditors,"Coordinated month and yearend financial processes, working as lead contact for external auditors in negotiation and auditing roles.",0.3132,0.4148,0.7986
"Performed contractor cost proposal reviews on bids related to materials, service and construction contracts being awarded by REECO",Coordinate month and yearend processes including being the key point of contact with external auditors,"Coordinated month and year-end processes, serving as the liaison with external auditors during proposal preparation and review.",0.2223,0.399,0.7589
under Operations and Maintenance (O&M) contract with Department of Energy (DOE).,Coordinate month and yearend processes including being the key point of contact with external auditors,"Coordinated month and yearend processes, serving as the primary liaison with external auditors for various DOE contracts.",0.3092,0.4947,0.763
"Performed various operational audits, special project audits and trained junior audit staff members.",Work will include prepayments accruals income and expense reviews and analysis of variances against budget,"Analyzed prepayments, accruals, income, and expenses, identifying variances and recommending corrective actions to align with budgets.",0.3805,0.3068,0.7853
Assigned as Managing Auditor and negotiator for Construction change orders at the Tonopah Stealth Fighter Training base,Coordinate month and yearend processes including being the key point of contact with external auditors,"Negotiated and managed construction change orders for a multi-billion dollar stealth fighter training facility, ensuring fiscal accuracy and project compliance.",0.3132,0.6482,0.1261
"Performed contractor cost proposal reviews on bids related to materials, service and construction contracts being awarded by REECO",Coordinate month and yearend processes including being the key point of contact with external auditors,Coordinated key financial processes including serving as primary liaison with external auditors during month and yearend financial reviews.,0.2223,0.2234,0.6731
under Operations and Maintenance (O&M) contract with Department of Energy (DOE).,Coordinate month and yearend processes including being the key point of contact with external auditors,"Coordinated month and yearend accounting processes, including external auditor liaison.",0.3092,0.3464,0.8286
"Performed various operational audits, special project audits and trained junior audit staff members.",Work will include prepayments accruals income and expense reviews and analysis of variances against budget,"Analyzed financial operations, including budgets, accruals, and variances, to enhance accuracy and compliance.",0.3805,0.4281,0.5824
Assigned as Managing Auditor and negotiator for Construction change orders at the Tonopah Stealth Fighter Training base,Coordinate month and yearend processes including being the key point of contact with external auditors,"Negotiated Construction change orders as the Managing Auditor, coordinating month and yearend processes as a key liaison to external auditors.",0.3132,0.641,0.6422
After completion of construction assigned operation audits supervisor.,Completion of the VAT returns,Supervised operation audits; including VAT return completion.,0.3002,0.544,0.7109
"Operational audits included Salvage Sale Operations, food-purchasing procedures, housing operations.",Daily operations of all accounting processes,"Oversee daily accounting operations, including perpetual stocktake processes",0.3547,0.3362,0.7615
Assigned as REECO liaison to USAF Office Special Investigations (OSI) and DOE-Inspector General on investigations of Hot Line fraud assertions on Tonopah Fighter Training Base.,Coordinate month and yearend processes including being the key point of contact with external auditors,"Collaborated with external auditors to coordinate month-end and year-end processes, ensuring timely and accurate reporting.",0.2257,0.2387,0.8133
Performed all controller functions for this privately owned fire company that contracted with several major cities and counties in Arizona and Tennessee.,Coordinate month and yearend processes including being the key point of contact with external auditors,"Coordinated monthly and annual accounting processes, serving as the primary liaison with external auditors, leveraging skills in accounting and controllership.",0.1097,0.2232,0.6699
"Staff included four accounting personnel for accounts payable, payroll, accounts receivable and general accounting.",Daily operations of all accounting processes,"Managed daily accounting operations including accounts payable, payroll, and general accounting.",0.3982,0.6217,0.7189
Approved by two CPA firms to the ONEO Board to assume Controllers function.,Strong communication skills and the ability to build excellent relationships,"Forged strategic relationships with multiple CPA firms, earning recognition for exceptional communication abilities.",0.0854,0.4054,0.4872
"Responsibilities included supervision of a computerized Fund Accounting system, streamlining accounting functions and training of",Daily operations of all accounting processes,"Supervised a computerized Fund Accounting system, streamlining accounting functions, and training staff for daily accounting operations.",0.4238,0.8545,0.5134
reservation residences in operation of the computerized system in accordance with GAAP.,Manage a small team of 4 direct reports in finance sales admin,"Oversee financial reporting and accounting operations, ensuring compliance with GAAP and managing inventory control processes.",0.166,0.3504,0.445
Reduced accounting/computer staff from thirty-four to twenty-six employees.,A supportive attitude to staff development,Supported staff development by reducing accounting/computer staff by 24% from 34 to 26 employees.,0.3233,0.818,0.5339
Decreased annual audit fee by over 40% by having staff prepare audit schedules.,A supportive attitude to staff development,"Facilitated staff development initiatives, resulting in a significant 40% reduction in audit fees through effective preparation of audit schedules.",0.1755,0.7867,0.3811
Offered extensive case status explanations to each client.,Ability to work with case management systems,"Established a comprehensive case management system, providing detailed explanations to clients.",0.5233,0.7896,0.6696
Advised clients of their rights.,Conducting investigations and establishing causes of action,"Investigated legal rights of clients, establishing grounds for potential legal actions.",0.2445,0.6695,0.483
Explained the legal process to each client and answered questions to help ease concerns.,Drafting generally including letter of claim claim form and particulars to commence proceedings,"Drafted legal documents, including letters of claim, claim forms, and particulars, to initiate legal proceedings.",0.3667,0.5001,0.8242
Conducted legal research and facts investigation for case litigation.,Legal research,"Conducted comprehensive legal research for litigation cases, providing in-depth analysis and discovering relevant facts.",0.7336,0.8171,0.6929
Drafted necessary motions relevant to each case.,Ability to work with case management systems,"Managed and updated case files utilizing case management systems, including drafting motions relevant to each case.",0.2886,0.6224,0.5435
Interviewed witnesses/Crime scene reconstruction,Initial reviewreport,Initially reviewed incident reports based on witness interviews and crime scene reconstruction.,0.1321,0.8056,0.3808
Worked on a high profile writ for habeas corpus,Preparing documents for trial,Prepared high-profile habeas corpus documentation for trial proceedings.,0.3882,0.7638,0.661
Negotiated plea deals with prosecutor,Attending conferences and trials with counsel,Negotiated favorable plea deals through collaborative negotiations with prosecution teams.,0.3307,0.8531,0.3974
Managed files in litigation and worked closely with defense counsel to develop strategy to bring cases to resolution.,Ability to pay attention to detail,"Managed and organized sensitive case files with meticulous attention to detail, facilitating strategic decision-making in complex litigation proceedings.",0.1824,0.7331,0.301
"Attended, negotiated and resolved close to 100 features in mediation.",Drafting generally including letter of claim claim form and particulars to commence proceedings,"Negotiated and resolved approximately 100 features in mediation, drafting letters of claim and particulars to commence legal proceedings.",0.2875,0.8018,0.6422
"Handled serious and complex claims by investigating, analyzing, and determining the extent of liability concerning loss of damages through attempts to affect fair settlement with claimants and insureds.",Conducting investigations and establishing causes of action,"Investigated complex claims, determining liability through analysis and high-level evaluation, leading to fair settlements for claimants and insureds.",0.488,0.8605,0.4162
Mentored new members of the claim staff.,Drafting generally including letter of claim claim form and particulars to commence proceedings,"Drafted claim forms, particulars, and letters of claim to initiate legal proceedings, mentoring new team members.",0.3291,0.6681,0.7191
"Entrusted with $75,000 in settlement authority.",Engaging in settlement negotiations including consideration and drafting of Part 36 offers,"Managed settlement negotiations with $75,000 settlement authority, including drafting Part 36 offers.",0.4402,0.6196,0.8073
Responsible for overseeing daily administration of claims work flow for my assigned team.,Preparing documents for trial,Evaluated high-level claims and reviewed medical records to prepare case documents for trial.,0.1632,0.2577,0.5924
"Supervised, coached, and developed team to ensure quality outcomes and superior customer service.",Drafting generally including letter of claim claim form and particulars to commence proceedings,"Drafted correspondence, including letters of claim, pleadings, and particulars, to initiate legal proceedings.",0.0965,0.1375,0.7848
Monitored claims to ensure file quality is compliant with established standards.,Ensure compliance with the SRA Standards  Regulations,Ensured compliance with established standards by monitoring files for quality and accuracy.,0.4301,0.7779,0.5905
Maintained accountability for team performance.,Preparing documents for trial,"Prepared trial-related documentation, establishing a foundation for effective case presentation.",0.1407,0.1999,0.7013
Mentored team members to Casualty promotion Explored alternatives to find innovative ways to leverage opportunities for team to improve quality of work/life balance.,Ability to prioritise workload and manage competing demands,Prioritized workloads and managed competing deadlines for team to enhance work-life balance and promote career growth.,0.3352,0.5707,0.6689
Mastered basic claims handling in a high demand atmosphere.,Engaging in settlement negotiations including consideration and drafting of Part 36 offers,"Expertly evaluated and negotiated claims, including drafting Part 36 offers, in a demanding environment.",0.4002,0.6728,0.7133
"Property Damage Assessor- Estimated vehicle damages, managed preferred repair shops, informed customers. of the repair process, repair quality assurance Casualty Adjuster- Completed detailed review of medical records/ bills, negotiated settlements with attorneys, monitored files for possible lawsuit potential.",Conducting investigations and establishing causes of action,"Investigated and determined causation for claims, negotiating settlements, and ensuring quality through legal research and writing.",0.1378,0.3326,0.5918
Scheduled surgeries and routine appointments,Supporting advisors by conducting research with lenders and preparing for appointments,"Researched lending options and prepared for financial advisor appointments using Excel spreadsheets, ensuring meticulous accuracy.",0.2347,0.1475,0.6903
Drew blood samples,Book client appointments,Scheduled and coordinated client appointments with meticulous attention to medical terminology.,0.0664,0.1042,0.5843
Developed X-rays,Book client appointments,"Scheduled and managed appointments with precision, ensuring prompt client attendance.",0.0421,-0.0206,0.6839
Managed inventory and documentation,Assessing client documents and ensuring that they are in line with polices criteria and compliance,Assessed and managed client inventory and documentation to ensure compliance with policy criteria,0.2513,0.712,0.567
Ordered medical supplies and animal food,Assessing client documents and ensuring that they are in line with polices criteria and compliance,"Evaluated client documentation to ensure accuracy and adherence to policy guidelines, contributing to compliance standards in the healthcare and animal care industries.",0.0409,0.3555,0.5428
"Administered vaccines, medication and performed lab tests",Assessing client documents and ensuring that they are in line with polices criteria and compliance,"Evaluated medical documents for compliance against established criteria, ensuring accuracy and alignment with policy requirements.",0.1489,0.205,0.5653
Assisted in surgeries and euthanasias.,Assessing client documents and ensuring that they are in line with polices criteria and compliance,Assessed medical documents for compliance with meticulous attention to detail to ensure alignment with policy criteria.,0.0765,0.2606,0.5239
"General administrative responsibilities included coordination of calendars (scheduled and coordinated arrangements for meetings, anticipated conflicts and needs), processed expense reports, and regular communications for cross-functional departments.",Supporting advisors by conducting research with lenders and preparing for appointments,"Supported advisors by scheduling appointments, conducting research on lenders, and processing expense reports.",0.2557,0.3768,0.8876
"Provided systems support, establishing appropriate documentation and tracking of business processes include budget reports, and updating church members on New Songs custom computer program, CCB",Promote the profile of the business within the profession and wider community,"Promoted the church's technical capabilities by documenting and streamlining business processes, including budget reporting and member tracking systems, utilizing CCB software and Microsoft Office proficiency, resulting in enhanced efficiency and communication within the community.",0.3343,0.7261,0.334
"Demonstrated excellent knowledge of skills with specific and commonly used office software (e.g., MS Office, Excel, and Power Point), expert knowledge of New Song Community Church's specific processes (e.g.,CCB.), and kept current on all training and upgrades.",Experience of working in a fast paced environment and juggling multiple tasks effectively and efficiently,"Expertly managed multiple tasks and projects simultaneously, ensuring timely delivery and high output.",0.2393,0.2054,0.4671
Created mail distribution process and maintained on a daily basis,Assessing client documents and ensuring that they are in line with polices criteria and compliance,"Assessed client documents daily, ensuring compliance with policies and criteria using Excel spreadsheets.",0.1668,0.3049,0.6236
Used appropriate discretion in the management of information and managed confidential New Song Community Church's information in a professional manner.,Experience of working in a fast paced environment and juggling multiple tasks effectively and efficiently,"Effectively managed multiple fast-paced tasks, including proofreading and spreadsheet creation, ensuring confidentiality and accuracy in the handling of sensitive information.",0.0058,0.2821,0.5223
"Balanced tasks, activities, and productively set priorities of projects in conjunction with pastor's needs.",Experience of working in a fast paced environment and juggling multiple tasks effectively and efficiently,"Effectively managed multiple projects and priorities, ensuring alignment with the pastor's needs within a fast-paced environment.",0.3126,0.8188,0.3793
Understood the strategic business objectives of Assimilation within the church including managers and staff to execute appropriate administrative tasks to accomplish business objectives productively.,Promote the profile of the business within the profession and wider community,"Promoted the church's profile within the professional community, increasing visibility and fostering positive relationships.",0.3433,0.5534,0.5589
Created and maintained spreadsheets to accurately track expenditures by project.,Supporting advisors by conducting research with lenders and preparing for appointments,"Assisted advisors by conducting diligent research with lenders and preparing for client appointments, ensuring meticulous attention to detail and efficient use of Excel spreadsheets.",0.1711,0.4562,0.7286
Provided excellent customer service to clients.,Speaking to clients about insurance policies,"Effectively communicated insurance policy details to clients via phone, streamlining customer engagement and fostering positive relationships.",0.4339,0.5067,0.7481
"Provided assistance to staff by performing general office work such as filing, scanning, printing and invoice processing.",Supporting advisors by conducting research with lenders and preparing for appointments,"Assisted advisors by researching lender programs, preparing client-facing materials, and processing invoices using Microsoft Office and Excel.",0.3645,0.531,0.7288
"Prepared invoices, billed clients, and initiated payment plans if necessary.",Chase documents from clients and help them complete fact finds if required,Supported clients by managing billing processes and initiating payment plans as required.,0.3832,0.742,0.3888
"Provided constant telephone, in-person, and e-mail contact with customers.",Assessing client documents and ensuring that they are in line with polices criteria and compliance,Assessed and ensured compliance adherence of client documents,0.3011,0.3408,0.728
"Responsible for managing the office (answered phones, filed, prepared monthly financial reports and financial analysis, etc.).",Create letters and reports,"Created letters and reports using Excel spreadsheets and QuickBooks, preparing monthly financial reports and analysis.",0.2826,0.4699,0.6562
Presented quotes to customers for communication services,Good communication skills and able to build trusting relationships with clients Must communicate in a fair and clear manner,"Communicated effectively with clients, established trust, and provided transparent quotes for communication services.",0.4287,0.6758,0.6996
"Accountable for cash transactions, and balance incoming revenue on a daily basis.",Supporting advisors by conducting research with lenders and preparing for appointments,Prepared for financial advisor appointments by researching and analyzing lending options.,0.2594,0.2678,0.8
Managed accounts receivable and accounts payable by the use of Quicken Books.,Promote the profile of the business within the profession and wider community,Promoted business visibility by leveraging QuickBooks expertise in AR/AP management.,0.1409,0.459,0.3906
Engage members and prospective members in product sales and promotions.,Assessing client documents and ensuring that they are in line with polices criteria and compliance,"Analyzed client documents for compliance, ensuring alignment with policies and criteria, leveraging Excel proficiency.",0.1798,0.2455,0.6329
Schedule preventative maintenance and vendor management,Management of client applications from first appointment to completion,"Manage client applications from intake to successful completion, including scheduling preventive maintenance and managing vendor relationships.",0.3669,0.6194,0.6878
Maintain corporate partnerships and drive lifetime membership sales.,Assessing client documents and ensuring that they are in line with polices criteria and compliance,"Assessed client documents for compliance, resulting in accurate records and adherence to policies.",0.1795,0.2692,0.7385
Responsible for daily currency handling.,Supporting advisors by conducting research with lenders and preparing for appointments,"Managed daily currency operations, utilizing QuickBooks expertise and Excel spreadsheets to support financial reporting and analysis.",0.2967,0.6529,0.2901
Ability to perform CPR and use an AED.,Engaging with clients confidently face to face and over the phone,"Communicate effectively with clients both in-person and via phone, leveraging interpersonal skills",0.1342,0.1761,0.7576
Greet and assist all members and staff in any needs or issues that arose within the club on a daily basis.,Assessing client documents and ensuring that they are in line with polices criteria and compliance,"Assessed and validated client documents for compliance with established policies and criteria, utilizing Microsoft Office proficiency and Excel spreadsheets expertise.",0.2068,0.1417,0.5877
Responsible for conducting compliance checks on Bureau of Land Management (BLM) administered gravel pits.,Assessment of critical path,Assessed gravel pit operations' critical pathways using TAAMs and Trimble Unit to ensure compliance with BLM regulations.,0.1565,0.7467,0.3609
Responsible for writing Environmental Assessment (EA) for Application to Drill (ADP) for oil and gas wells in which I concurred with Natural Resources Specialist.,Be rigorous in following documented processes and governance,Rigorously followed documented processes and governance to write and read legal descriptions in accordance with Environmental Assessment (EA) for oil and gas well drilling applications.,0.1931,0.7276,0.5148
"Participated in joint effort with oil company, BLM personnel, and surface landowner to discuss and alternate planning methods for the clean-up and rehabilitation of oil well disaster.",Skilled communicator working across disciples and with internal and external stakeholders,"Collaborated cross-functionally with oil company representatives, BLM personnel, and landowners to facilitate planning for the remediation of an oil well disaster.",0.1896,0.8675,0.3296
Responsible for rehab of abandoned oil wells which included reseeding and erosion control.,Produce project control reports and provide performance analysis and recommendations,"Managed oil well rehabilitation projects involving revegetation and erosion mitigation, providing performance analysis and recommendations.",0.1146,0.7458,0.2187
"Participated in Range Improvement Projects such as planning for fencing, pipeline installation, spring development, water catchment pits and possible sites for water wells.",Be rigorous in following documented processes and governance,"Rigorously followed documented processes and governance while planning and executing range improvement projects, including fencing installation, pipeline development, and water infrastructure development using ArcGIS 10.5.1 and Trimble Unit.",0.051,0.6665,0.3272
"Processed Federal Grazing applications, this required assurance of AUM's.",Previous experience of the following tools is required Oracle Primavera MS Project Excel,"Processed and analyzed Federal Grazing applications using Oracle Primavera, MS Project, and Excel to ensure accurate allotment utilization management (AUMs).",0.1424,0.727,0.4447
"Responsible in conducting Rangeland Health Assessments on Federal Grazing permits to needed renewal. This required evaluating and determine the condition of allotments. Duties included identifying plant species, determine plant diversity, vegetative cover and erosion control when needed.",Produce project control reports and provide performance analysis and recommendations,"Analyzed and evaluated rangeland health assessments, identifying and reporting on plant diversity, vegetative cover, and erosion control to ensure permit renewal compliance.",0.1572,0.6991,0.0747
Participated in BLM wild horse adoption.,Be rigorous in following documented processes and governance,Rigorously adhered to established procedures and guidelines during a Bureau of Land Management wild horse adoption.,0.063,0.7378,0.2795
Participated in Fire Duties.,Be rigorous in following documented processes and governance,Rigorously adhered to established protocols and regulatory guidelines during fire safety drills.,0.0922,0.5858,0.2872
"Other duties include general office work, assisting the general public and other agency personnel when needed.",Develop work breakdown structures and robust baselines,"Developed project plans, establishing baselines and work breakdown structures.",0.1553,0.1731,0.7638
Compliance and monitoring of the range units on the Northern Cheyenne Reservation.,Be able to demonstrate the ability to innovate in creative ways to meet the challenges of the changing project environment,Innovate solutions using TAAMs and ArcGIS to enhance compliance and project monitoring efficiency.,0.0578,0.3378,0.4065
Required to count and identify brands when cattle and/or horses are in trespass or in violation of Range Units.,Be rigorous in following documented processes and governance,"Rigorously followed documented processes and governance to effectively identify and count brands on trespassing cattle and horses, ensuring compliance with Range Unit regulations.",0.0447,0.805,0.4076
"GPS, inspect and monitor fencline (range unit boundaries) and the Tongue River Pipeline Project.",Produce project control reports and provide performance analysis and recommendations,"Managed projects by collecting data, generating reports, and providing performance analysis using Trimble Unit and Garmin.",0.2568,0.4483,0.4955
Assist the public and agency staff in land status questions and map request.,Be rigorous in following documented processes and governance,Rigorously adhered to established procedures and governance while providing comprehensive support to clients and colleagues in resolving land ownership inquiries and acquiring cadastral maps.,0.1914,0.5907,0.5146
I was responsible for creating maps for range units.,Develop work breakdown structures and robust baselines,"Developed geospatial maps utilizing ArcGIS 10.5.1 for tactical army units, establishing robust baselines and work breakdown structures.",0.1993,0.4576,0.3677
"I was assigned Natural Resource Conservation Service liason, assisting in managment plans with area ranchers.",Work with Integrated Master Schedules,"Managed integrated master schedules for natural resource conservation, collaborating with ranchers using TAAMs and ArcGIS 10.5.1.",0.1784,0.5688,0.5894
Assist range manager in calculating AUMs and determine surplus AUMs for leases.,Be rigorous in following documented processes and governance,"Rigorously followed documented processes to calculate AUMs and surplus AUMs for multiple leases, utilizing TAAMs and ArcGIS 10.5.1.",-0.043,0.7639,0.0322
"Conducted Approximately 50-60 line transects for various Big Horn County Ranchers. This required identifying, clipping and weighing native grasses, forbs and shrubs within 1 100 ft. transect.",Develop work breakdown structures and robust baselines,"Leveraged TAAMs and ArcGIS 10.5.1 to establish baselines and develop work breakdown structures for 50-60 line transect surveys, identifying and quantifying flora.",0.0428,0.5674,0.3763
After documenting data and taking photo points the data was then entered into the system. This determines the trend and condition of the pasture and range units. The data is then used for Conservation plans and practices once the AUM's and stocking rates were determined.,Be able to demonstrate the ability to innovate in creative ways to meet the challenges of the changing project environment,"Innovate data management processes using TAAMs and Trimble Unit to optimize pasture and range unit assessments, driving conservation planning and practice implementation based on AUMs and stocking rates.",0.0534,0.649,0.1362
